구분,label_ko,항목(열제목·설정명),설명
공통,,No.,표에서의 행 번호
공통,,측정일시,해당 측정 레코드의 시각(조회 구간 필터 적용 후)
공통,,비고,적재 시 저장한 메모(없으면 빈 칸)
기본세팅,구조물경사계,요약,단위 °·소수4·관리기준 경사(mm) 세트. 차트Y·계산식 템플릿 없음. 표·그래프는 조회 구간 첫 유효 value_real(°) 기준 파생
기본세팅,균열측정계,요약,단위 mm·소수2·식1 기본 m*10. 차트 ±0.6·균열 관리기준. 원시 V 있으면 표시 mm=V×10
기본세팅,유량계,요약,단위 m³·소수2·식1 m. 차트 0~100. 관리기준 템플릿 없음
기본세팅,지중경사계,요약,단위 mm·소수4·식1 m·식2 L*tan(r1*pi/180)·sensor_length_mm 기본1000·차트 ±100·관리=경사 mm 세트. 적재 결과=절대변위 mm
기본세팅,내공변위계,요약,지중경사계와 동일 템플릿·동일 파생(다단·초기대비 누적 mm)
기본세팅,지표침하계,요약,단위 mm·소수4·식1 m*200(1000mm 센서 가정). 차트 ±26·지표침하 관리기준
기본세팅,레일변위계,요약,소수2·단위 mm만 템플릿. 차트·관리·식 없음→현장 입력
기본세팅,지하수위계,요약,단위 GL.m·소수4·식1 m*5-pipe. 차트 -10~0.5·pipe_depth_m
기본세팅,진동계,요약,단위 kine·소수3·차트 0~0.5·관리 1차 주 0.3만 기본
기본세팅,진동계(3축),요약,진동계와 동일 카탈로그 기본·번들 시 X/Y/Z 합성 PVS
기본세팅,하중계,요약,단위 Ton·소수3·식1 m*gf·gauge 1·차트 0~150
기본세팅,기타,요약,카탈로그만 있고 종류별 템플릿 특화 없음
측정표,구조물경사계,측정치(V),DB에 저장된 측정값(채널 단위 표시). 스케일·적재 계산 반영 후 각도(°)
측정표,구조물경사계,변화량(deg),조회 구간에서 시간순 첫 유효 측정치 대비 차이(°)·첫 행은 0에 해당
측정표,구조물경사계,변위량(mm),1000×Δ°×(π/180) 근사(mm)·그래프 세로축과 동일 스케일
측정표,구조물경사계,각변위,|Δrad|의 역수 기반 1/N 표기(매우 작은 각도용)·해당 없으면 —
측정표,구조물경사계,다채널(동일 종류 연결),센서코드별로 측정치·변화량(deg)·변위량(mm)·각변위 4열씩(2행 헤더). 각 채널 동일 규칙
측정표,지중경사계,측정치(mm),적재 계산까지 끝낸 절대 변위(mm)·L*tan 등
측정표,지중경사계,누적변위(초기대비)(mm),조회 구간 첫 유효 value_real 대비 상대변위(mm)·그래프와 동일
측정표,지중경사계,다채널(다단),채널마다 측정치(mm)·누적(초기대비) 2열. 대표=하부·연결=하부→상부 순
측정표,내공변위계,측정치(mm),지중경사계와 동일
측정표,내공변위계,누적변위(초기대비)(mm),지중경사계와 동일
측정표,내공변위계,다채널,지중 다단과 동일 열 구조(예 TN001 대표·TN002…)
측정표,균열측정계,측정치(mm),원시 value_raw 있으면 V×10·없으면 value_real을 mm로 표시
측정표,균열측정계,전회대비(mm),시간순 직전 유효 행 대비 증분·첫 유효 행은 빈 값
측정표,균열측정계,누적(mm),조회 구간 첫 유효 개폭 대비 누적·그래프 누적축과 동일
측정표,유량계,유량(m³),순간 유량·value_real과 동일(식·스케일 적용 후)
측정표,유량계,전회대비(m³),직전 유효 행 대비·첫 유효 행은 빈 값
측정표,유량계,초기대비(m³),구간 첫 유효 유량 대비
측정표,하중계,하중(Ton),적재 식(예 m*gf) 결과·value_real
측정표,하중계,전회대비(Ton),직전 유효 행 대비·첫 유효 행은 빈 값
측정표,하중계,초기대비(Ton),구간 첫 유효 하중 대비
측정표,지표침하계,측정치(V),원시 전압 등(value_raw)
측정표,지표침하계,측정치(mm),value_real·기본 m*200 환산
측정표,지표침하계,전회대비,직전 유효 mm 대비
측정표,지표침하계,초기대비,구간 첫 유효 mm 대비(누적 변화)
측정표,지하수위계,측정값(V),원시·스케일 적용 전 단계 표시용
측정표,지하수위계,지하수위(GL.m),value_real·적재 계산 결과
측정표,지하수위계,변화량,직전 행 대비 GL.m 차이의 절댓값(m)
측정표,지하수위계,전회대비,직전 유효 행과의 차이·부호 유지(m)
측정표,지하수위계,초기대비,구간 첫 유효 GL 대비(m)·첫 유효 행은 0
측정표,진동계(3축),X 센서코드 (kine),연결 1번 채널·대표=X
측정표,진동계(3축),Y 센서코드 (kine),연결 2번
측정표,진동계(3축),Z 센서코드 (kine),연결 3번
측정표,진동계(3축),PVS (kine),√(x²+y²+z²)·공통 시각만 행 생성
측정표,진동계,PVS (kine),적재 칼럼이 곧 PVS·√합성 없음·전회·초기대비 열 없음
측정표,레일변위계,측정치(채널 단위),자동 생성 헤더(센서명·단위)·저장 단위 그대로
측정표,레일변위계,전회대비,표시 행 기준 직전 유효 value_real 대비(파생 API 없음)
측정표,레일변위계,초기대비,조회 구간 시간순 첫 유효 value_real 대비
측정표,기타,단일 채널·파생 없음,헤더: 측정치(단위)·전회대비·초기대비·비고. 전회/초기는 브라우저에서 value_real 기준 계산(레일 등과 동일 패턴)
측정표,기타,연결·종류 혼합,센서코드별 열 한 개씩·해당 채널 value_real(또는 경사계는 변위mm 등 종류별 표시 규칙)
